"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department","year"
"1",1,1,NA,NA,NA,NA,0,"Stone, MH","Stone, MH",1,"Western Reserve Univ, Cleveland, OH USA.",NA,NA,NA,NA,1,"Soil reaction in relation to the distribution of native plant species","ECOLOGY","WOS:000200151900001","J","ECOLOGICAL SOC AMER","1944","western reserve univ","usa","oh",NA,"cleveland",NA,1944
"2",2,2,NA,NA,NA,NA,0,"Pennak, RW","Pennak, RW",1,"Univ Colorado, Biol Dept, Boulder, CO USA.",NA,NA,NA,NA,2,"Diurnal movements of zooplankton organisms in some Colorado mountain
lakes","ECOLOGY","WOS:000200151900002","J","ECOLOGICAL SOC AMER","1944","univ colorado","usa","co",NA,"boulder",NA,1944
"3",3,3,NA,NA,NA,NA,0,"Isanogle, IT","Isanogle, IT",1,"Western Maryland Coll, Westminister, MD USA.",NA,NA,NA,NA,3,"Effects of controlled shading upon the development of leaf structure in
two deciduous tree species","ECOLOGY","WOS:000200151900003","J","WILEY","1944","western maryland coll","usa","md",NA,"westminister",NA,1944
"4",4,4,NA,NA,NA,NA,0,"DuShane, GP","DuShane, GP",1,"Univ Chicago, Dept Zool, Chicago, IL USA.",NA,NA,NA,NA,4,"Differences in size and developmental rate between eastern and
midwestern embryos of Ambystoma maculatum","ECOLOGY","WOS:000200151900004","J","ECOLOGICAL SOC AMER","1944","univ chicago","usa","il",NA,"chicago",NA,1944
"5",5,5,NA,NA,NA,NA,0,"Hutchinson, C","Hutchinson, C",2,"Could not be extracted",NA,NA,NA,NA,4,"Differences in size and developmental rate between eastern and
midwestern embryos of Ambystoma maculatum","ECOLOGY","WOS:000200151900004","J","ECOLOGICAL SOC AMER","1944",NA,NA,NA,NA,NA,NA,1944
"6",6,6,NA,NA,NA,NA,0,"Allgaier, BE","Allgaier, BE",1,"State Coll Washington, Dept Bot, Pullman, WA USA.",NA,NA,NA,NA,5,"The chemical control of Klamath weed I Application of ecological methods
in determining the herbicidal and fertilizing properties of ammonium
sulfamate and commercial borax","ECOLOGY","WOS:000200151900005","J","ECOLOGICAL SOC AMER","1944","state coll washington","usa","wa",NA,"pullman",NA,1944
"7",7,7,NA,NA,NA,NA,0,"Engle, JB","Engle, JB",1,"Fish & Wildlife Serv, Fishery Biol Lab, Milford, CT USA.",NA,NA,NA,NA,6,"On season of attachment of larvae of Mytilus edulis Linn","ECOLOGY","WOS:000200151900006","J","ECOLOGICAL SOC AMER","1944","fish & wildlife serv","usa","ct",NA,"milford",NA,1944
"8",8,8,NA,NA,NA,NA,0,"Loosanoff, VL","Loosanoff, VL",2,"Could not be extracted",NA,NA,NA,NA,6,"On season of attachment of larvae of Mytilus edulis Linn","ECOLOGY","WOS:000200151900006","J","ECOLOGICAL SOC AMER","1944",NA,NA,NA,NA,NA,NA,1944
"9",9,9,NA,NA,NA,NA,0,"Smith, AD","Smith, AD",1,"Utah Agr Expt Stn, Logan, UT USA.",NA,NA,NA,NA,7,"A study of the reliability of range vegetation estimates","ECOLOGY","WOS:000200151900007","J","ECOLOGICAL SOC AMER","1944","utah agr expt stn","usa","ut",NA,"logan",NA,1944
"10",10,10,NA,NA,NA,NA,0,"Dowdy, WW","Dowdy, WW",1,"Lincoln Univ, Jefferson City, MO USA.",NA,NA,NA,NA,8,"The influence of temperature on vertical migration of invertebrates
inhabiting different soil types","ECOLOGY","WOS:000200151900008","J","ECOLOGICAL SOC AMER","1944","lincoln univ","usa","mo",NA,"jefferson city",NA,1944
"11",11,11,NA,NA,NA,NA,0,"Cheyne, H","Cheyne, H",2,"Could not be extracted",NA,NA,NA,NA,9,"The influence of hydrogen ion concentration on the minimum dissolved
oxygen toleration of the silver salmon, Oncorhynchus kisutch (Walbaum)","ECOLOGY","WOS:000200151900009","J","ECOLOGICAL SOC AMER","1944",NA,NA,NA,NA,NA,NA,1944
"12",12,12,NA,NA,NA,NA,0,"Townsend, LD","Townsend, LD",1,"Could not be extracted",NA,NA,NA,NA,9,"The influence of hydrogen ion concentration on the minimum dissolved
oxygen toleration of the silver salmon, Oncorhynchus kisutch (Walbaum)","ECOLOGY","WOS:000200151900009","J","ECOLOGICAL SOC AMER","1944",NA,NA,NA,NA,NA,NA,1944
"13",13,13,NA,NA,NA,NA,0,"Sweetman, HL","Sweetman, HL",1,"Massachusetts State Coll, Amherst, MA USA.",NA,NA,NA,NA,10,"Selection of woody plants as winter food by the cottontail rabbit","ECOLOGY","WOS:000200151900010","J","ECOLOGICAL SOC AMER","1944","massachusetts state coll","usa","ma",NA,"amherst",NA,1944
"14",14,14,NA,NA,NA,NA,0,"Bonck, J","Bonck, J",1,"Loyola Univ, New Orleans, LA USA.",NA,NA,NA,NA,11,"Seasonal growth of twigs of trees in the batture lands of the New
Orleans area","ECOLOGY","WOS:000200151900011","J","ECOLOGICAL SOC AMER","1944","loyola univ","usa","la",NA,"new orleans",NA,1944
"15",15,15,NA,NA,NA,NA,0,"Penfound, WT","Penfound, WT",2,"Could not be extracted",NA,NA,NA,NA,11,"Seasonal growth of twigs of trees in the batture lands of the New
Orleans area","ECOLOGY","WOS:000200151900011","J","ECOLOGICAL SOC AMER","1944",NA,NA,NA,NA,NA,NA,1944
