"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"ROBERTSON, JH",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300001",1,"J","1947","ECOLOGICAL SOC AMER",1947
"2",2,2,"BIRCH, LC",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300002",2,"J","1947","ECOLOGICAL SOC AMER",1947
"3",3,3,"DREW, WB",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300003",3,"J","1947","ECOLOGICAL SOC AMER",1947
"4",4,4,"PENNAK, RW",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300004",4,"J","1947","ECOLOGICAL SOC AMER",1947
"5",5,5,"VANGERPEN, ED",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300004",4,"J","1947","ECOLOGICAL SOC AMER",1947
"6",6,6,"CURTIS, JD",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300005",5,"J","1947","ECOLOGICAL SOC AMER",1947
"7",7,7,"OLMSTED, NW",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300005",5,"J","1947","ECOLOGICAL SOC AMER",1947
"8",8,8,"RICHMOND, ND",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300006",6,"J","1947","ECOLOGICAL SOC AMER",1947
"9",9,9,"MARSHALL, N",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34300007",7,"J","1947","ECOLOGICAL SOC AMER",1947
"10",10,10,"ROBERTSON, OH",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400001",8,"J","1947","ECOLOGICAL SOC AMER",1947
"11",11,11,"WOODBURY, AM",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400002",9,"J","1947","ECOLOGICAL SOC AMER",1947
"12",12,12,"PEARSON, OP",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400003",10,"J","1947","ECOLOGICAL SOC AMER",1947
"13",13,13,"DARLAND, RW",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400004",11,"J","1947","ECOLOGICAL SOC AMER",1947
"14",14,22,"WEAVER, JE",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400004",11,"J","1947","ECOLOGICAL SOC AMER",1947
"15",15,15,"DYKSTERHUIS, EJ",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400005",12,"J","1947","ECOLOGICAL SOC AMER",1947
"16",16,16,"SCHMUTZ, EM",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400005",12,"J","1947","ECOLOGICAL SOC AMER",1947
"17",17,17,"TOLSTEAD, WL",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400006",13,"J","1947","ECOLOGICAL SOC AMER",1947
"18",18,18,"MCVAUGH, R",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400007",14,"J","1947","ECOLOGICAL SOC AMER",1947
"19",19,19,"[Anonymous]",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400009",15,"J","1947","ECOLOGICAL SOC AMER",1947
"20",20,20,"NORTON, OA",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400010",16,"J","1947","ECOLOGICAL SOC AMER",1947
"21",21,21,"WILLIAMS, LG",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34400011",17,"J","1947","ECOLOGICAL SOC AMER",1947
"22",22,22,"WEAVER, JE",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1947XV34500001",18,"J","1947","ECOLOGICAL SOC AMER",1947
