"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU","year"
"1",1,1,"Boyle, W. A.",4,"Kansas State Univ, Div Biol, 116 Ackert Hall, Manhattan, KS 66506 USA.","kansas state univ","116 ackert hall","66506","manhattan","ks","usa",NA,"G-1872-2010","0000-0002-2880-142X","WOS:000504953600001",1,"J","2020","WILEY",2019
"2",2,2,"Munguia, S. M.",2,"Florida Int Univ, Dept Earth & Environm, 11200 SW 8th St,AHC-5 360, Miami, FL 33199 USA.","florida int univ","ahc-5 360","33199","miami","fl","usa",NA,NA,"0000-0001-8019-5909","WOS:000504953600001",1,"J","2020","WILEY",2019
"3",3,3,"Williams, E. J.",3,"Denali Natl Pk & Preserve, POB 9, Denali Natl Pk, AK 99755 USA.","denali natl pk & preserve","pob 9","99755","denali natl pk","ak","usa",NA,NA,NA,"WOS:000504953600001",1,"J","2020","WILEY",2019
"4",4,4,"Winnicki, S. K.",1,"Kansas State Univ, Div Biol, 116 Ackert Hall, Manhattan, KS 66506 USA.","kansas state univ","116 ackert hall","66506","manhattan","ks","usa",NA,NA,"0000-0001-8571-6259","WOS:000504953600001",1,"J","2020","WILEY",2019
"5",5,5,"Nippert, Jesse B.",3,"Kansas State Univ, Div Biol, Ackert Hall, Manhattan, KS 66506 USA.","kansas state univ","ackert hall","66506","manhattan","ks","usa",NA,NA,"0000-0002-7939-342X","WOS:000504372700001",2,"J","2020","WILEY",2019
"6",6,6,"O'Connor, Rory C.",1,"Kansas State Univ, Div Biol, Ackert Hall, Manhattan, KS 66506 USA.","kansas state univ","ackert hall","66506","manhattan","ks","usa",NA,NA,"0000-0002-6473-0032","WOS:000504372700001",2,"J","2020","WILEY",2019
"7",7,7,"Taylor, Jeffrey H.",2,"Kansas State Univ, Div Biol, Ackert Hall, Manhattan, KS 66506 USA.","kansas state univ","ackert hall","66506","manhattan","ks","usa",NA,NA,NA,"WOS:000504372700001",2,"J","2020","WILEY",2019
"8",8,8,"Bronikowski, Anne M.",3,"Iowa State Univ, Dept Ecol Evolut & Organismal Biol, Ames, IA 50011 USA.","iowa state univ","dept ecol evolut & organismal biol","50011","ames","ia","usa",NA,NA,NA,"WOS:000504363000001",3,"J","2020","WILEY",2019
"9",9,9,"Hoekstra, Luke",2,"Iowa State Univ, Dept Ecol Evolut & Organismal Biol, Ames, IA 50011 USA.","iowa state univ","dept ecol evolut & organismal biol","50011","ames","ia","usa",NA,NA,NA,"WOS:000504363000001",3,"J","2020","WILEY",2019
"10",10,10,"Janzen, Fredric J.",4,"Iowa State Univ, Dept Ecol Evolut & Organismal Biol, Ames, IA 50011 USA.","iowa state univ","dept ecol evolut & organismal biol","50011","ames","ia","usa",NA,NA,NA,"WOS:000504363000001",3,"J","2020","WILEY",2019
"11",11,1578,"Miller, David",5,"Penn State Univ, Dept Ecosyst Sci & Management, University Pk, PA 16802 USA.","penn state univ","dept ecosyst sci & management","16802","university pk","pa","usa",NA,NA,NA,"WOS:000504363000001",3,"J","2020","WILEY",2019
"12",12,12,"Reinke, Beth A.",1,"Penn State Univ, Dept Ecosyst Sci & Management, University Pk, PA 16802 USA.","penn state univ","dept ecosyst sci & management","16802","university pk","pa","usa",NA,NA,NA,"WOS:000504363000001",3,"J","2020","WILEY",2019
"13",13,13,"Abbott, Karen C.",21,"Case Western Reserve Univ, Dept Biol, 10900 Euclid Ave, Cleveland, OH 44106 USA.","case western reserve univ","10900 euclid ave","44106","cleveland","oh","usa",NA,NA,NA,"WOS:000504370700001",4,"J","2020","WILEY",2019
"14",14,14,"Cabral, Juliano S.",4,"Synth Ctr German Ctr Integrat Biodivers Res sDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","synth ctr german ctr integrat biodivers res sdiv","deutsch pl 5e","04103"," leipzig",NA,"germany",NA,NA,NA,"WOS:000504370700001",4,"J","2020","WILEY",2019
"15",15,15,"Chase, Jonathan M.",7,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","german ctr integrat biodivers res idiv","deutsch pl 5e","04103"," leipzig",NA,"germany",NA,NA,NA,"WOS:000504370700001",4,"J","2020","WILEY",2019
"16",16,625,"Chu, Chengjin",8,"Sun Yat Sen Univ, State Key Lab Biocontrol, Dept Ecol, Guangzhou 510275, Guangdong, Peoples R China.","sun yat sen univ","state key lab biocontrol"," 51027","guangzhou","guangdong","peoples r china",NA,NA,NA,"WOS:000504370700001",4,"J","2020","WILEY",2019
"17",17,17,"Donohue, Ian",3,"Trinity Coll Dublin, Coll Green Dublin, Sch Nat Sci, Dept Zool, Dublin 2, Ireland.","trinity coll dublin","coll green dublin",NA,"dept zool","dublin ","ireland",NA,NA,"0000-0002-4698-6448","WOS:000504370700001",4,"J","2020","WILEY",2019
