JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,COUNTRY,GENDER,CATEGORY,NOTES,editor_id
BITR,1969,1,1,AE,James A Peters,James,A,Peters,USA,M,AE,,1809
BITR,1969,1,1,EIC,William Louid Stern,William,Louid,Stern,USA,M,EIC,,3809
BITR,1970,2,1,EIC,William Louid Stern,William,Louid,Stern,USA,M,EIC,,3809
BITR,1971,3,1,EIC,William Louid Stern,William,Louid,Stern,USA,M,EIC,,3809
BITR,1972,4,1,EIC,William Louid Stern,William,Louid,Stern,USA,M,EIC,,3809
BITR,1973,5,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1973,5,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1974,6,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1974,6,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1975,7,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1975,7,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1976,8,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1976,8,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1976,8,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1977,9,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1977,9,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1977,9,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1978,10,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1978,10,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1978,10,1,AE,Jay C Shaffer,Jay,C,Shaffer,USA,M,AE,,1863
BITR,1978,10,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1979,11,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1979,11,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1979,11,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1980,12,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1980,12,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1980,12,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1981,13,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1981,13,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1981,13,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1982,14,1,AE,Carl H Ernst,Carl,H,Ernst,USA,M,AE,,443
BITR,1982,14,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1982,14,1,EIC,Michael G Emsley,Michael,G,Emsley,USA,M,EIC,,2359
BITR,1983,15,1,EIC,E Raymond Heithaus,E,Raymond,Heithaus,USA,M,EIC,,978
BITR,1983,15,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1983,15,1,AE,Jay S Tashiro,Jay,S,Tashiro,USA,M,AE,,1901
BITR,1984,16,1,EIC,E Raymond Heithaus,E,Raymond,Heithaus,USA,M,EIC,,978
BITR,1984,16,1,AE,John D Bultman,John,D,Bultman,USA,M,AE,,1491
BITR,1984,16,1,AE,Jay S Tashiro,Jay,S,Tashiro,USA,M,AE,,1901
