"X1","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","RP_address","RI","OI","UT","refID","PT","PY","PU","year","country"
"1","1","1","LEMS, K","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600001","1","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"2","2","2","GODMAN, RM","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600002","2","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"4","4","4","ALLER, AR","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600003","3","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"5","5","5","ODUM, EP","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600004","4","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"6","6","38","DIX, RL","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600005","5","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"7","7","7","GRAHAM, BF","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600006","6","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"8","8","8","GOLUEKE, CG","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600007","7","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"9","9","9","WEAVER, JE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600008","8","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"10","10","10","CUNNINGHAM, JD","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600009","9","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"11","11","11","RICKARD, WH","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600010","10","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"12","12","12","SEXTON, OJ","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600011","11","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"13","13","13","HAGAR, DC","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600012","12","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"14","14","14","MARTIN, ND","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600013","13","J","1960","ECOLOGICAL SOC AMER","1960","Canada"
"15","15","15","ZIMMERMAN, JR","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600014","14","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"16","16","16","DEBACH, P","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600015","15","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"18","18","18","VALENTINE, JW","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600016","16","J","1960","ECOLOGICAL SOC AMER","1960","USA"
